[2026-02-25 06:51:53] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 06:51:54] API: GET /api/Get/GetActiveJobTransactions Status: 200
[2026-02-25 06:52:09] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:52:09] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 06:52:09] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 06:52:09] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 06:53:06] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 06:53:06] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 06:53:06] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:53:06] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 06:53:39] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:53:39] API: GET /api/Get/GetUnpostedTransactions?page=0&size=100000&search=&emp_num=EE00025 Status: 200
[2026-02-25 06:53:43] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 06:53:43] API: GET /api/Get/GetActiveJobTransactions Status: 200
[2026-02-25 06:53:59] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 06:53:59] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 06:53:59] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:53:59] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 06:57:53] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 06:57:53] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 06:57:53] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:57:53] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 06:58:24] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:58:24] API: GET /api/Get/GetUnpostedTransactions?page=0&size=100000&search=&emp_num=EE00025 Status: 200
[2026-02-25 06:58:31] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 06:58:31] API: GET /api/Get/GetActiveJobTransactions Status: 200
[2026-02-25 06:58:40] API: POST /api/Post/CompleteJob Status: 200
[2026-02-25 06:58:50] API: GET /api/Get/GetActiveJobTransactions Status: 200
[2026-02-25 06:58:50] API: GET /api/Get/GetUnpostedTransactions?page=0&size=100000&search=&emp_num=EE00025 Status: 200
[2026-02-25 06:58:57] API: GET /api/Get/IsNextJobActive Status: 200
